id,name,full name,avatar
1,george.bluth@reqres.in,George Bluth,George-image.jpg
2,janet.weaver@reqres.in,Janet Weaver,Janet-image.jpg
3,emma.wong@reqres.in,Emma Wong,Emma-image.jpg
4,eve.holt@reqres.in,Eve Holt,Eve-image.jpg
5,charles.morris@reqres.in,Charles Morris,Charles-image.jpg
6,tracey.ramos@reqres.in,Tracey Ramos,Tracey-image.jpg
7,michael.lawson@reqres.in,Michael Lawson,Michael-image.jpg
8,lindsay.ferguson@reqres.in,Lindsay Ferguson,Lindsay-image.jpg
9,tobias.funke@reqres.in,Tobias Funke,Tobias-image.jpg
10,byron.fields@reqres.in,Byron Fields,Byron-image.jpg
11,george.edwards@reqres.in,George Edwards,George-image.jpg
12,rachel.howell@reqres.in,Rachel Howell,Rachel-image.jpg
